"municipality","minefield_area","minefield_perc"
"Banja Luka",45.806516816519,0.0378389874643532
"Banovići",26.7673267745409,0.142274656661041
"Berkovići",67.4703781161471,0.223145013322605
"Bihać",212.669071546496,0.21926778943501
"Bijeljina",12.9395473656557,0.0171506485144517
"Bosanska Krupa",149.18662916694,0.26022321172825
"Bosanski Petrovac",7.44792579812635,0.00992330952396822
"Bosansko Grahovo",57.3422841375557,0.0730822124746004
"Bratunac",33.8650885302557,0.109671639292217
"Breza",16.486411448518,0.207744364061373
"Brod",76.391535115251,0.319837968665659
"Brčko",129.524855679593,0.266707316021039
"Bugojno",70.791711362563,0.186222548962997
"Busovača",60.9853711799866,0.397099902577399
"Bužim",24.5298403741552,0.18843575628468
"Cazin",20.6071609667191,0.0572169022829453
"Derventa",51.9279050234697,0.100427144446134
"Doboj",127.144588150452,0.181654174181449
"Doboj Istok",8.29512511332133,0.257495710407666
"Doboj Jug",3.59623604174556,0.319161097435692
"Dobretići",8.34837299792776,0.118677350626118
"Domaljevac-Šamac",19.6520265940966,0.357227984016415
"Donji Vakuf",106.704973269292,0.319897188267777
"Donji Žabar",11.0354571983372,0.291734452338049
"Drvar",48.6361229575898,0.0916980954102585
"Dubica",18.7423885077673,0.0363931390772651
"Fojnica",28.3560393374095,0.0910599606812766
"Foča",53.8246728182717,0.0471469284492048
"Foča-Ustikolina",37.1866808420711,0.232619209423775
"Gacko",16.5032540173384,0.0226279017487866
"Glamoč",120.26114899732,0.112778324854027
"Goražde",39.0218212415629,0.186282033243865
"Gornji Vakuf-Uskoplje",88.0706333093828,0.218234590565143
"Gradačac",56.2253705132787,0.299777446223484
"Gradiška",47.429416741921,0.0630343620613491
"Gračanica",42.2040018675441,0.207284165574412
"Hadžići",33.3809014165614,0.124725191913951
"Han Pijesak",21.8870597651832,0.0625611345561402
"Ilidža",48.8852810794347,0.332473947722828
"Ilijaš",75.4184205777073,0.256409777447977
"Istočna Ilidža",19.2336088347333,0.569783386886861
"Istočni Drvar",2.70073306429282,0.0290103808509049
"Istočni Mostar",1.65638845289582,0.0230086405304385
"Istočni Stari Grad",15.7568742226283,0.198669568422434
"Istočno Novo Sarajevo",4.0658279968277,0.100827951739614
"Jablanica",26.6371671908808,0.086574759703415
"Jajce",68.3515273482979,0.216206395051116
"Jezero",4.7702984842848,0.0613305693388645
"Kakanj",7.98142300969652,0.0208596457430664
"Kalesija",56.1942171784633,0.297603264072709
"Kalinovik",72.6098067505319,0.108992181081464
"Kiseljak",54.4310644648605,0.340672492848591
"Kladanj",50.6719477618233,0.165373565914325
"Ključ",18.3813466718096,0.0549475411744968
"Konjic",112.1063246949,0.0994489397932501
"Kostajnica",7.41650580195579,0.0798077531502854
"Kotor Varoš",76.1059038689725,0.136802561287987
"Kreševo",35.0317640902398,0.238688010780376
"Krupa na Uni",26.3367769422796,0.255588048872982
"Kupres-FBIH",163.137939536957,0.285556074769449
"Kupres-RS",3.34517947025178,0.0587199337648106
