"","municipality","total","muslims","serbs","croats","yugoslavs","other","percent_muslims","percent_serbs","percent_croats","percent_yugoslavs","percent_other","fractionalization","polarization","percent_total_population"
"98","Vareš",22203,6714,3644,9016,2071,758,0.302391568706932,0.164121965500158,0.406071251632662,0.0932756834661983,0.0341395306940504,0.706863597530713,0.773018988697796,0.00507261425719203
"99","Velika Kladuša",52908,48305,2266,740,993,604,0.912999924397067,0.0428290617675966,0.0139865426778559,0.0187684282150147,0.0114160429424662,0.163918606208852,0.299774752510415,0.0120876401891418
"100","Višegrad",21199,13471,6743,32,319,634,0.635454502570876,0.318081041558564,0.00150950516533799,0.0150478796169631,0.0299070710882589,0.493898875975531,0.869163481106353,0.0048432351321089
"101","Visoko",46160,34373,7471,1872,1464,980,0.744649046793761,0.161850086655113,0.0405545927209705,0.0317157712305026,0.0212305025996534,0.416201047182732,0.666166036109719,0.0105459565874875
"102","Vitez",27859,11514,1501,12675,1377,792,0.413295523888151,0.053878459384759,0.454969668688754,0.0494274740658315,0.0284288739725044,0.616035246053716,0.875563017615194,0.00636481379052888
"103","Vlasenica",33942,18727,14359,39,340,477,0.551735313181309,0.423045194743975,0.00114901891461906,0.010017087973602,0.0140533851864946,0.516321747461618,0.960033880922474,0.00775456799160527
"104","Sarajevo Vogošća",24647,12499,8813,1071,1730,534,0.5071205420538,0.357568872479409,0.0434535643283158,0.0701910983081105,0.0216659228303647,0.607688842514239,0.862956614620637,0.00563098336247408
"105","Zavidovići",57164,34198,11640,7576,2726,1024,0.598243649849556,0.203624658876216,0.132530963543489,0.047687355678399,0.0179133720523406,0.580482104624578,0.778097156931156,0.0130599883528408
"106","Zenica",145517,80359,22433,22510,15654,4561,0.552231010809734,0.154160682257056,0.15468983005422,0.10757505995863,0.0313434169203598,0.634791647914549,0.752638082313868,0.0332455798254206
"107","Žepče",22966,10820,2278,9100,546,222,0.471131237481494,0.0991901071148655,0.396237916920665,0.0237742750152399,0.00966646346773491,0.610533536245596,0.886762463001797,0.00524693325364465
"108","Živinice",54783,44017,3525,3976,2130,1135,0.80347918149791,0.0643447784896775,0.0725772593687823,0.0388806746618477,0.0207181059817827,0.343072549025447,0.550007834656326,0.0125160125591925
"109","Zvornik",81295,48102,30863,122,1248,960,0.591696906328803,0.379642044406175,0.00150070730057199,0.0153514976320807,0.0118088443323698,0.505389319753608,0.93092860698823,0.018573083639077
