"municipality","party","municipality_code","vote_count","total_municipal_votes","percent_vote"
"Čapljina","KOALICIJA ZA CJELOVITU I DEMOKRATSKU BOSNU I HERCEGOVINU (SDA BiH, S BiH, LIBERALI BiH, GDS)","173",4371,17343,0.252032520325203
"Čapljina","LBO","173",26,17343,0.00149916392780949
"Čapljina","SDP BiH","173",501,17343,0.0288877356858675
"Čelinac","DEMOKRATSKI PREPOROD SRPSKE (DPS)","035",198,10084,0.0196350654502182
"Čelinac","DRAGAN DŽOMBIĆ","035",42,10084,0.00416501388337961
"Čelinac","KOALICIJA ZA CJELOVITU I DEMOKRATSKU BOSNU I HERCEGOVINU (SDA BiH, S BiH, LIBERALI BiH, GDS)","035",712,10084,0.0706069020230067
"Čelinac","NARODNA RADIKALNA STRANKA ""NIKOLA PAŠIĆ""","035",262,10084,0.0259817532725109
"Čelinac","NARODNA STRANKA R.S-e","035",1129,10084,0.111959539865133
"Čelinac","RADE MIKAĆ","035",282,10084,0.0279650932169774
"Čelinac","SOCIJALISTIČKA PARTIJA REPUBLIKE SRPSKE (SPRS) BANJA LUKA","035",2938,10084,0.291352637842126
"Čelinac","SRPSKA DEMOKRATSKA STRANKA (SRPSKIH ZEMALJA)","035",2256,10084,0.223720745735819
"Čelinac","SRPSKA PATRIOTSKA STRANKA - SPAS","035",892,10084,0.0884569615232051
"Čelinac","SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE","035",1079,10084,0.107001190003967
"Čelinac","SRPSKI DEMOKRATSKI SAVEZ RS","035",185,10084,0.018345894486315
"Čelinac","SRPSKI OTADŽBINSKI FRONT (SOF)","035",109,10084,0.0108092026973423
"Čelić","BOSS - BOSANSKA STRANKA","052",152,5480,0.0277372262773723
"Čelić","HDZ BiH","052",391,5480,0.0713503649635037
"Čelić","KOALICIJA ZA CJELOVITU I DEMOKRATSKU BOSNU I HERCEGOVINU (SDA BiH, S BiH, LIBERALI BiH, GDS)","052",4285,5480,0.781934306569343
"Čelić","SDP BiH","052",414,5480,0.0755474452554745
"Čelić","ZDRUŽENA LISTA '97 (UBSD, HSS BiH, MBO BiH, REPUBLIKANSKA STRANKA I SPP BiH)","052",238,5480,0.0434306569343066
"Čitluk","HDZ BiH","172",7369,7714,0.955276121337827
"Čitluk","HRVATSKA NARODNA ZAJEDNICA","172",345,7714,0.0447238786621727
"Šamac","BOSS - BOSANSKA STRANKA","021",30,13622,0.0022023197768316
"Šamac","DEMOKRATSKA STRANKA RS","021",130,13622,0.00954338569960358
"Šamac","DEMOKRATSKI PREPOROD SRPSKE (DPS)","021",144,13622,0.0105711349287917
"Šamac","HDZ BiH","021",1231,13622,0.0903685215093232
"Šamac","HRVATSKA SELJAČKA STRANKA BiH / HSS BiH / SARAJEVO","021",216,13622,0.0158567023931875
"Šamac","KOALICIJA ZA CJELOVITU I DEMOKRATSKU BOSNU I HERCEGOVINU (SDA BiH, S BiH, LIBERALI BiH, GDS)","021",898,13622,0.0659227719864924
"Šamac","NARODNA STRANKA R.S-e","021",63,13622,0.00462487153134635
"Šamac","SDP BiH","021",123,13622,0.00902951108500954
"Šamac","SOCIJALISTIČKA PARTIJA REPUBLIKE SRPSKE (SPRS) BANJA LUKA","021",1778,13622,0.130524152106886
"Šamac","SPD RS","021",62,13622,0.00455146087211863
"Šamac","SRPSKA DEMOKRATSKA STRANKA (SRPSKIH ZEMALJA)","021",6770,13622,0.496990162971663
"Šamac","SRPSKA PATRIOTSKA STRANKA - SPAS","021",131,13622,0.0096167963588313
"Šamac","SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE","021",1575,13622,0.115621788283659
"Šamac","SRPSKA SELJAČKA STRANKA","021",204,13622,0.0149757744824549
"Šamac","SRPSKI DEMOKRATSKI SAVEZ RS","021",168,13622,0.0123329907502569
"Šamac","SRPSKI OTADŽBINSKI FRONT (SOF)","021",23,13622,0.00168844516223756
"Šamac","UJEDINJENA POSAVSKA OBITELJ U.P.O HRZ BiH","021",76,13622,0.00557921010130671
"Šekovići","BOSS - BOSANSKA STRANKA","101",20,4812,0.00415627597672485
"Šekovići","DEMOKRATSKA STRANKA FEDERALISTA","101",45,4812,0.00935162094763092
"Šekovići","KOALICIJA ZA CJELOVITU I DEMOKRATSKU BOSNU I HERCEGOVINU (SDA BiH, S BiH, LIBERALI BiH, GDS)","101",164,4812,0.0340814630091438
"Šekovići","MARJANOVIĆ ZORAN","101",35,4812,0.0072734829592685
"Šekovići","NDPB","101",8,4812,0.00166251039068994
"Šekovići","RISTAN RISTIĆ","101",15,4812,0.00311720698254364
"Šekovići","SOCIJALISTIČKA PARTIJA REPUBLIKE SRPSKE (SPRS) BANJA LUKA","101",944,4812,0.196176226101413
"Šekovići","SRPSKA DEMOKRATSKA STRANKA (SRPSKIH ZEMALJA)","101",1944,4812,0.403990024937656
"Šekovići","SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE","101",1317,4812,0.273690773067332
"Šekovići","STRANKA DEMOKRATSKIH REFORMI ŠEKOVIĆI - SDR","101",265,4812,0.0550706566916043
"Šekovići","UDRUŽENA LJEVICA","101",35,4812,0.0072734829592685
"Šekovići","VLAJKO SOKIĆ","101",20,4812,0.00415627597672485
"Šipovo","EKOLOŠKI POKRET","088",66,8087,0.00816124644491159
"Šipovo","KOALICIJA ZA CJELOVITU I DEMOKRATSKU BOSNU I HERCEGOVINU (SDA BiH, S BiH, LIBERALI BiH, GDS)","088",1362,8087,0.168418449363175
"Šipovo","NARODNA RADIKALNA STRANKA ""NIKOLA PAŠIĆ""","088",24,8087,0.00296772597996785
"Šipovo","NARODNA STRANKA R.S-e","088",45,8087,0.00556448621243972
"Šipovo","ROF ""NIKOLA PAŠIĆ""","088",15,8087,0.00185482873747991
"Šipovo","SOCIJALISTIČKA PARTIJA REPUBLIKE SRPSKE (SPRS) BANJA LUKA","088",4024,8087,0.497588722641276
"Šipovo","SOCIJALNO - LIBERALNA STRANKA RS (SLS)","088",35,8087,0.00432793372078645
"Šipovo","SRPSKA DEMOKRATSKA STRANKA (SRPSKIH ZEMALJA)","088",1745,8087,0.215778409793496
"Šipovo","SRPSKA PATRIOTSKA STRANKA - SPAS","088",88,8087,0.0108816619265488
"Šipovo","SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE","088",256,8087,0.0316557437863237
"Šipovo","SRPSKA SELJAČKA STRANKA","088",62,8087,0.00766662544825028
"Šipovo","SRPSKI POKRET OBNOVE (SPO)","088",272,8087,0.033634227772969
"Šipovo","STRANKA NEZAVISNIH SOCIJALDEMOKRATA","088",79,8087,0.00976876468406084
"Šipovo","UDRUŽENA LJEVICA","088",14,8087,0.00173117348831458
"Široki Brijeg","HDZ BiH","150",10330,11767,0.877878813631342
"Široki Brijeg","HRVATSKA STRANKA PRAVA / HSP","150",780,11767,0.066287074020566
"Široki Brijeg","HRVATSKA ČISTA STRANKA PRAVA BOSNE I HERCEGOVINE (HČSP BiH)","150",657,11767,0.0558341123480921
"Žepče","BOSS - BOSANSKA STRANKA","075",110,6983,0.0157525418874409
"Žepče","HDZ BiH","075",406,6983,0.058141200057282
"Žepče","KOALICIJA ZA CJELOVITU I DEMOKRATSKU BOSNU I HERCEGOVINU (SDA BiH, S BiH, LIBERALI BiH, GDS)","075",6427,6983,0.920378061005299
"Žepče","LBO","075",40,6983,0.00572819704997852
"Živinice","BOSS - BOSANSKA STRANKA","079",828,23719,0.0349087229647118
"Živinice","DEM.STR - INVALIDA BH","079",437,23719,0.0184240482313757
"Živinice","HDZ BiH","079",1419,23719,0.0598254563851764
"Živinice","KOALICIJA ZA CJELOVITU I DEMOKRATSKU BOSNU I HERCEGOVINU (SDA BiH, S BiH, LIBERALI BiH, GDS)","079",12332,23719,0.519920738648341
"Živinice","LBO","079",256,23719,0.0107930351195244
"Živinice","SDP BiH","079",7470,23719,0.314937391964248
"Živinice","SEAD SOFTIĆ","079",374,23719,0.0157679497449302
"Živinice","ZDRUŽENA LISTA '97 (UBSD, HSS BiH, MBO BiH, REPUBLIKANSKA STRANKA I SPP BiH)","079",603,23719,0.0254226569416923
