"Municipality","Canton","Entity","Sarajevo District","Split by IEBL","Municipality Area","Municipality Perimeter","Population, 2013","Bosniak Population, 2013","Croat Population, 2013","Serb Population, 2013","Not Declared Population, 2013","Other Population, 2013","No Answer Population, 2013","Bosniak Population Percentage, 2013","Croat Population Percentage, 2013","Serb Population Percentage, 2013","Not Declared Population Percentage, 2013","Other Population Percentage, 2013","No Answer Population Percentage, 2013","Ethnic Fractionalization, 2013","Ethnic Polarization, 2013","Percent of Population, 2013","Proportion of Votes for Nationalist Parties, 1997","Proportion of Votes for Non-Nationalist Parties, 1997","Proportion of Votes for Independent Parties, 1997","Proportion of Votes for Other Parties, 1997","Proportion of Invalid Ballots, 1997","Number of Votes Cast In-District, 1997","Number of Votes Cast Out-District, 1997","Total Votes Cast, 1997","Proportion of Votes Cast In-District, 1997","Proportion of Votes Cast Out-District, 1997","Distance to Croatia","Distance to Serbia","Distance to Montenegro","Distance to Yugoslavia","Distance to Another Country","Distance to IEBL","Republika Srpska Municipality","Federation Municipality"
"Kakanj","Zenica-Doboj","Federacija Bosna i Hercegovina",0,0,382.625050684262,109.618371262484,37441,32341,2973,281,172,1646,28,0.863785689484789,0.0794049304238669,0.00750514142250474,0.00459389439384632,0.0439625010015758,0.000747843273416843,0.245558447888319,0.437450755838378,0.0105315921041047,0.764088543963312,0.202178322603404,0.0285739483199577,0.00515918511332569,0,19255,3423,22678,0.849060763735779,0.150939236264221,81.3413975831346,66.159257310874,82.4740173922993,66.159257310874,66.159257310874,22.0797100602515,0,0
"Kalesija","Tuzla","Federacija Bosna i Hercegovina",0,1,188.822583494025,70.7542160149395,33053,32227,20,254,54,459,39,0.975009832692948,0.000605088796780928,0.00768462771911778,0.0016337397513085,0.0138867878861223,0.00117992315372281,0.0490995023144187,0.096039771177525,0.00929731347498659,0.690004019831167,0.18511322524454,0.124882754924293,0,0,12511,2415,14926,0.838201795524588,0.161798204475412,36.2576497599875,12.3010475861535,90.6511857309183,12.3010475861532,12.3010475861532,0,0,0
"Kalinovik","Foča","Repuplika Srpska",0,0,666.192804199976,137.84020566737,2029,57,8,1947,1,16,0,0.0280926564810251,0.003942828979793,0.959586002957122,0.000492853622474125,0.007885657959586,0,0.0783275331741013,0.152231479537698,0.000570727287712092,0.869653081845739,0.130346918154261,0,0,0,2265,704,2969,0.762883125631526,0.237116874368474,53.1866002321536,48.4800663335164,13.6124479192209,13.6124479192207,13.6124479192207,0,0,0
"Kiseljak","Central Bosnia","Federacija Bosna i Hercegovina",0,0,159.775343203456,82.4169178661727,20722,7838,11823,409,85,548,19,0.378245343113599,0.570553035421291,0.0197374770775022,0.00410192066402857,0.026445323810443,0.000916899913135798,0.530293104573017,0.91933075196161,0.00582878800195662,0.977560026927968,0.0181763781883462,0.00426359488368614,0,0,10003,3366,13369,0.748223502131797,0.251776497868203,73.0021937054883,85.0006890603595,71.0374844705854,71.0374844705852,71.0374844705852,13.8429309777515,0,0
"Kladanj","Tuzla","Federacija Bosna i Hercegovina",0,0,306.408992765354,93.5261126000541,12348,11997,33,107,40,162,9,0.971574344023324,0.00267249757045675,0.00866537091026887,0.00323939099449304,0.0131195335276968,0.000728862973760933,0.0557779160841375,0.108380016923094,0.00347330731822026,0.641378220325589,0.332543069385175,0,0,0.0260787102892366,5771,556,6327,0.912122648964754,0.0878773510352458,54.8341792828015,21.9638344253008,69.2300740510807,21.9638344253008,21.9638344253008,0,0,0
"Ključ","Una-Sana","Federacija Bosna i Hercegovina",0,1,334.525372362633,85.5414145143283,16744,16130,30,273,30,258,23,0.963330148112757,0.00179168657429527,0.016304347826087,0.00179168657429527,0.0154085045389393,0.00137362637362637,0.071483464835918,0.138133436925708,0.00470983622742793,0.916294227188082,0.0501862197392924,0,0.0335195530726257,0,6068,4672,10740,0.564990689013035,0.435009310986965,34.4918516149609,169.543422124994,198.736833631248,169.543422124994,34.4918516149609,0,0,0
"Konjic","Herzegovina-Neretva","Federacija Bosna i Hercegovina",0,0,1127.27521206323,193.293413085217,25148,22486,1553,355,168,562,24,0.894146651821218,0.0617544138698903,0.0141164307300779,0.00668045172578336,0.0223477016064896,0.00095435024654048,0.195943924801188,0.355750500968268,0.0070737554615001,0.867316752492604,0.10408677550126,0,0.0285964720061356,0,15125,3129,18254,0.828585515503451,0.171414484496549,45.0750946557748,65.2001018202095,37.9686270732162,37.9686270732161,37.9686270732161,0,0,0
"Kostajnica","Banja Luka","Repuplika Srpska",0,0,92.9296404071146,43.7695870808974,5977,1460,86,4315,70,44,2,0.244269700518655,0.0143884892086331,0.721934080642463,0.0117115609837711,0.00736155261837042,0.000334616028107746,0.418745002908226,0.761644142768677,0.00168124051190497,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,180.293304646923,257.715580704759,180.293304646923,0,22.806146048992,0,0
"Kotor Varoš","Banja Luka","Repuplika Srpska",0,0,556.319290753334,138.115332993227,19710,5234,1116,13091,115,134,20,0.265550481988838,0.05662100456621,0.66418061897514,0.00583460172501268,0.00679857940131913,0.00101471334348047,0.485059815832875,0.812153585648278,0.00554412757062856,0.866592323042611,0.0932034276323512,0.00240638572602418,0.037797863599014,0,9688,7350,17038,0.56861133935908,0.43138866064092,47.9499996859255,110.517914399981,137.149716510811,110.517914399981,47.9499996859255,0,0,0
"Kreševo","Central Bosnia","Federacija Bosna i Hercegovina",0,0,146.768008898752,57.5214218707377,5273,1014,4149,26,28,53,3,0.192300398255263,0.786838611795942,0.00493077944244263,0.00531007016878437,0.0100512042480561,0.000568936089512611,0.343751695991685,0.647969076756402,0.00148321586402458,0.966555183946488,0.0334448160535117,0,0,0,2960,628,3588,0.824972129319955,0.175027870680045,61.6671413783166,89.4904661340618,75.3067814690758,75.3067814690756,61.6671413783166,19.1141445717098,0,0
"Krupa na Uni","Banja Luka","Repuplika Srpska",0,1,103.043851457108,62.8158449792208,1597,3,2,1592,0,0,0,0.00187852222917971,0.00125234815278647,0.996869129618034,0,0,0,0.00624684119292229,0.0124655400065899,0.000449212162876398,1,0,0,0,0,1231,409,1640,0.750609756097561,0.249390243902439,3.97789552624418,204.650076131842,250.304489010522,204.650076131842,3.97789552624418,0,0,0
"Kupres-FBIH","Canton 10","Federacija Bosna i Hercegovina",0,1,571.299138597107,120.185532067319,5057,255,4474,318,4,5,1,0.0504251532529168,0.8847142574649,0.0628831322918726,0.000790982796124184,0.00098872849515523,0.000197745699031046,0.210782055889731,0.385432516410046,0.00142245830160673,1,0,0,0,0,1529,810,2339,0.653698161607525,0.346301838392475,22.1290498835194,142.323828827343,120.624427409249,120.624427409249,22.1290498835194,0,0,0
"Kupres-RS","Banja Luka","Repuplika Srpska",0,1,56.9683794884739,35.1805063641504,300,0,0,299,1,0,0,0,0,0.996666666666667,0.00333333333333333,0,0,0.00664444444444445,0.0132888888888887,8.43855033581211e-05,1,0,0,0,0,160,77,237,0.675105485232067,0.324894514767932,36.1724388473014,151.350064841391,146.632574770563,146.632574770563,36.1724388473014,0,0,0
"Laktaši","Banja Luka","Repuplika Srpska",0,0,384.729441329813,93.1655380204634,34966,112,521,33462,245,579,47,0.00320311159412,0.0149001887547904,0.956986787164674,0.0070068066121375,0.0165589429731739,0.00134416290110393,0.0836189129382283,0.159766674556884,0.00983541170140021,0.501205713225747,0.395721263834786,0.00618314474741854,0.0968898781920485,0,2446,172,2618,0.934300993124523,0.0656990068754775,14.374517744566,119.768657927426,183.791917134863,119.768657927426,14.374517744566,34.2650564701016,0,0
"Livno","Canton 10","Federacija Bosna i Hercegovina",0,0,964.691617043638,153.213112807674,34133,4047,29273,438,137,216,22,0.118565610992295,0.857615797029268,0.0128321565640289,0.00401371107139718,0.00632818679869921,0.000644537544311956,0.250216105080424,0.469336434932817,0.00960110128707583,0.905547034764826,0.0318890593047035,0.0625639059304703,0,0,13244,2404,15648,0.846370143149284,0.153629856850716,0,165.387425158457,136.563543391384,136.563543391384,0,19.1574368058881,0,0
"Ljubinje","Trebinje","Repuplika Srpska",0,0,328.765719695411,88.9020920868275,3511,12,10,3469,5,13,2,0.00341782967815437,0.00284819139846198,0.98803759612646,0.00142409569923099,0.00370264881800057,0.000569638279692395,0.0237458527420962,0.0468546260120992,0.000987591674301211,0.817417876241406,0.118411000763942,0,0.0641711229946524,0,2446,172,2618,0.934300993124523,0.0656990068754775,9.36736133130582,94.8843216555137,18.1302450737139,18.1302450737139,9.36736133130582,0,0,0
"Ljubuški","West Herzegovina","Federacija Bosna i Hercegovina",0,0,274.626624913783,87.5598127594553,28184,707,27271,41,51,78,36,0.0250851546977008,0.967605733749645,0.0014547260857224,0.00180953732614249,0.00276752767527675,0.00127732046551235,0.063095197618279,0.123830449403065,0.00792773675548428,0.959054658626726,0,0.0409453413732737,0,0,8981,1301,10282,0.873468196848862,0.126531803151138,0,127.147047020346,70.8343253190558,70.8343253190558,0,19.2703713692117,0,0
"Lopare","Bijeljina","Repuplika Srpska",0,1,302.757305581096,80.7513781973235,15357,1371,50,13869,25,31,11,0.0892752490720844,0.00325584424041154,0.903106075405353,0.00162792212020577,0.00201862342905515,0.000716285732890539,0.176411507911112,0.34521229068598,0.00431969391690222,0.730727789205603,0.239690469193849,0,0.0295817416005485,0,9432,777,10209,0.92389068468998,0.0761093153100206,9.76315217084088,14.9581787738557,107.900768038006,14.9581787738557,9.76315217084088,0,0,0
"Lukavac","Tuzla","Federacija Bosna i Hercegovina",0,1,343.674538078256,81.8280838351175,44520,38561,1524,1499,378,2478,80,0.86615004492363,0.0342318059299191,0.033670260557053,0.00849056603773585,0.0556603773584906,0.00179694519317161,0.244305200364233,0.422575683609099,0.0125228086983452,0.462582345191041,0.410715854194115,0.102722880983751,0.0119016249451032,0.0120772946859903,21550,1220,22770,0.946420729029425,0.0535792709705753,36.3588356583669,43.1737693061782,105.008761135958,43.1737693061782,36.3588356583669,0,0,0
"Maglaj","Zenica-Doboj","Federacija Bosna i Hercegovina",0,0,303.2276270349,100.622482400357,23146,19810,2041,810,96,378,11,0.855871424868228,0.0881793830467467,0.0349952475589735,0.00414758489587834,0.016331115527521,0.000475244102652726,0.258199699496012,0.456511777679035,0.00651062286909024,0.8300395256917,0.151314658876096,0,0.0186458154322048,0,9180,2458,11638,0.78879532565733,0.211204674342671,50.8229433526956,64.1563859653352,118.731012210795,64.1563859653352,50.8229433526956,0,0,0
"Milići","Vlasenica","Repuplika Srpska",0,0,252.759197406486,94.0465872945176,11441,4199,24,7180,9,21,8,0.367013372956909,0.00209771873088017,0.62756752032165,0.000786644524080063,0.00183550388952015,0.000699239576960056,0.471451314264132,0.927802350485404,0.00321818181306755,NA,NA,NA,NA,NA,0,0,0,NA,NA,62.5833862558332,4.59327051903409,50.791259898315,4.59327051903409,4.59327051903409,15.680912238767,0,0
"Modriča","Doboj","Repuplika Srpska",0,0,395.603021488304,99.3489071300929,25720,3101,1674,20227,170,429,119,0.12056765163297,0.0650855365474339,0.786430793157076,0.00660964230171073,0.0166796267496112,0.00462674961119751,0.362410617754548,0.596677936459501,0.00723465048790292,0.843474306502956,0.115825375170532,0.00313778990450205,0.03756252842201,0,14629,7361,21990,0.665256934970441,0.334743065029559,8.4577728045085,41.6431640512834,146.301960910319,41.6431640512834,8.4577728045085,0,0,0
"Mostar","Herzegovina-Neretva","Federacija Bosna i Hercegovina",0,1,1061.39566791897,183.214665592782,105797,46752,51216,4421,1312,1910,186,0.441902889495921,0.484096902558674,0.0417875743168521,0.0124011077818842,0.0180534419690539,0.00175808387761468,0.568143018720898,0.928136850494745,0.0297591103292638,0.945458551549974,0.0439145099235606,0.00179657971898781,0.00883035880747784,0,44997,14004,59001,0.762648090710327,0.237351909289673,14.2690650676812,93.8228582729816,50.2582683439434,50.2582683439434,14.2690650676812,0,0,0
"Mrkonjić Grad","Banja Luka","Repuplika Srpska",0,0,656.7852184311,156.133691587395,16671,375,159,16050,37,37,13,0.0224941515206046,0.00953752024473637,0.962749685081879,0.00221942295003299,0.00221942295003299,0.000779797252714294,0.0725056329694751,0.140487881026012,0.00468930242161079,0.488780990215552,0.480467887883469,0,0.0307511219009784,0,11568,2025,13593,0.851026263517987,0.148973736482013,35.7342562188757,144.757970649926,168.9467558953,144.757970649926,35.7342562188757,0,0,0
"Neum","Herzegovina-Neretva","Federacija Bosna i Hercegovina",0,0,212.038604480237,83.7701004721255,4653,63,4543,21,7,12,7,0.0135396518375242,0.976359338061466,0.00451321727917473,0.00150440575972491,0.00257898130238556,0.00150440575972491,0.0465075740601483,0.0909935334704156,0.00130881915708446,0.988089330024814,0.0119106699751861,0,0,0,1874,141,2015,0.930024813895782,0.0699751861042184,0,114.878783340575,43.662991154613,43.662991154613,0,0,0,0
"Nevesinje","Trebinje","Repuplika Srpska",0,0,967.245725779476,161.792376545543,12961,533,28,12353,19,21,7,0.041123370110331,0.00216032713525191,0.953090039348816,0.00146593627034951,0.00162024535143893,0.000540081783812977,0.0899185124590297,0.176973604193164,0.00364573503008203,0.913219148001757,0.00395256916996047,0.0161616161616162,0.0666666666666667,0,9511,1874,11385,0.835397452788757,0.164602547211243,27.3160157226324,70.0991782872417,14.6906908703892,14.6906908703892,14.6906908703892,0,0,0
"Novi Grad","Banja Luka","Repuplika Srpska",0,0,474.321638140459,119.970684547337,27115,6439,181,20116,147,207,25,0.237470035035958,0.00667527198967361,0.741877189747372,0.00542135349437581,0.00763415083901899,0.000921998893601328,0.393093137121722,0.740795476595996,0.00762704307851818,0.70923401804569,0.264196582837397,0.00353234785947399,0.023037051257439,0,18227,7818,26045,0.699827222115569,0.300172777884431,0,185.705869408343,247.518816827737,185.705869408343,0,0,0,0
"Novi Travnik","Central Bosnia","Federacija Bosna i Hercegovina",0,0,244.486649358474,87.9709059746426,23832,12067,11002,367,104,270,22,0.506336018798254,0.461648204095334,0.0153994629070158,0.00436388049681101,0.0113293051359517,0.000923128566633098,0.530119379491057,0.966707644446263,0.00670358438676914,1,0,0,0,0,13649,1899,15548,0.877862104450733,0.122137895549267,63.1584379547455,111.007355899154,106.529280922825,106.529280922825,63.1584379547455,16.6610965685538,0,0
"Novo Goražde","Foča","Repuplika Srpska",0,1,162.792051122253,79.2731482400935,3117,1459,2,1618,6,25,7,0.468078280397818,0.000641642605068977,0.519088867500802,0.00192492781520693,0.00802053256336221,0.00224574911774142,0.51137598167253,0.984794494308244,0.000876765379890878,0.964054213317619,0.0249459831074445,0.0109998035749362,0,0,3360,1731,5091,0.65998821449617,0.34001178550383,111.732014419219,10.8862473595004,0.677538574020748,0.677538574020434,0.677538574020434,0,0,0
"Novo Sarajevo","Sarajevo","Federacija Bosna i Hercegovina",1,1,9.76411891699341,12.3752814792361,64814,48188,4639,3402,1893,6655,37,0.743481346622643,0.0715740426451075,0.0524886598574382,0.0292066528836363,0.102678433671738,0.000570864319437159,0.42796136902997,0.637799263688457,0.0182312067155109,0.632093209629196,0.327096754307555,0.0110655611379959,0.0297444749252535,0,29042,3401,32443,0.89516999044478,0.10483000955522,94.3016137425466,67.6871848387603,55.0795984336264,55.0795984336262,55.0795984336262,0,0,0
"Odžak","Posavina","Federacija Bosna i Hercegovina",0,1,157.166777119652,62.9331072231099,18822,6220,11621,582,102,228,69,0.330464350228456,0.61741579003294,0.0309212623525661,0.00541919030921262,0.0121134842205929,0.00366592285623207,0.508445387866651,0.880295406868372,0.00529434648068852,0.96580547112462,0.0341945288753799,0,0,0,5578,3634,9212,0.60551454624403,0.39448545375597,0,45.710802863831,169.447052952085,45.710802863831,0,0,0,0
"Olovo","Zenica-Doboj","Federacija Bosna i Hercegovina",0,0,396.661853483411,135.407668057616,10175,9701,230,77,20,139,8,0.953415233415233,0.0226044226044226,0.00756756756756757,0.00196560196560197,0.0136609336609337,0.000786240786240786,0.0902400618174574,0.172361484632933,0.00286207498889627,0.773610361575823,0.187263896384242,0.0280626011872639,0.0110631408526713,0,6821,591,7412,0.920264436049649,0.0797355639503508,67.0014902398793,29.1640605459556,62.6572486605994,29.1640605459555,29.1640605459555,0,0,0
"Orašje","Posavina","Federacija Bosna i Hercegovina",0,1,117.625175390288,57.892049090974,19861,2015,17345,157,100,218,26,0.101455113035597,0.873319571018579,0.00790493932833191,0.00503499320275918,0.010976285182015,0.00130909823271739,0.226809755117943,0.42429783768358,0.00558660160731881,0.891988710377768,0.0108554059921841,0.0971558836300478,0,0,8512,700,9212,0.924012158054711,0.0759878419452888,0,17.3289605706675,155.623568795458,17.3289605706675,0,0,0,0
"Osmaci","Vlasenica","Repuplika Srpska",0,1,85.8537927880502,45.1321739414616,6016,2895,9,3095,7,6,4,0.481216755319149,0.00149601063829787,0.514461436170213,0.00116356382978723,0.000997340425531915,0.000664893617021277,0.50375483639373,0.994588804843436,0.00169221062734152,0.930226144511859,0.0697738554881412,0,0,0,1981,1645,3626,0.546332046332046,0.453667953667954,48.2517456007724,5.59335539044305,86.3408652753159,5.59335539044305,5.59335539044305,0,0,0
"Oštra Luka","Banja Luka","Repuplika Srpska",0,1,236.332375674663,138.522246273581,2786,23,160,2580,12,8,3,0.00825556353194544,0.0574300071787509,0.926058865757358,0.00430725053840632,0.00287150035893754,0.00107681263460158,0.139020659651452,0.266460173333297,0.000783660041185751,0.78281027104137,0.145506419400856,0,0.0716833095577746,0,1836,968,2804,0.654778887303852,0.345221112696148,14.0019170886115,165.23532721204,202.71514702074,165.23532721204,14.0019170886115,0,0,0
"Pale","Istočno Sarajevo","Repuplika Srpska",1,1,508.418908630621,109.449752321684,20909,186,128,20451,55,75,14,0.00889569085082979,0.0061217657468076,0.978095556937204,0.00263044621933139,0.00358697211727008,0.000669568128557081,0.0431922382303667,0.0843647556654288,0.00588138829904985,0.979722658294087,0.0143249607535322,0.00156985871271586,0.0043825222396651,0,13543,1745,15288,0.885858189429618,0.114141810570382,98.841921911477,35.3946872775304,23.723612933166,23.723612933165,23.723612933165,0,0,0
"Pale-Prača","Bosnian Podrinje","Federacija Bosna i Hercegovina",0,1,84.2202697528685,55.384743185653,904,859,1,33,1,10,0,0.950221238938053,0.00110619469026549,0.0365044247787611,0.00110619469026549,0.0110619469026549,0,0.0956222100399405,0.18541457957498,0.000254281650119138,NA,NA,NA,NA,NA,0,0,0,NA,NA,105.071503661273,27.9317131719004,17.491628051802,17.4916280518009,17.4916280518009,0,0,0
"Pelagićevo","Doboj","Repuplika Srpska",0,1,117.963612108943,50.1239987183425,5220,13,1850,3330,7,12,8,0.0024904214559387,0.354406130268199,0.637931034482759,0.00134099616858238,0.00229885057471264,0.00153256704980843,0.467424656126598,0.913802888268289,0.00146830775843131,0.804810360777058,0.147779833487512,0,0.0474098057354302,0,2894,1430,4324,0.669287696577243,0.330712303422757,8.41707702922025,26.6659513295915,145.209928890612,26.6659513295915,8.41707702922025,0,0,0
"Petrovac","Banja Luka","Repuplika Srpska",0,1,163.658007882215,53.6538956733153,361,0,0,358,0,3,0,0,0,0.991689750692521,0,0.00831024930747922,0,0.0164823781278536,0.0329647562557072,0.000101543889040939,0.662087912087912,0.241758241758242,0,0.0961538461538462,0,104,260,364,0.285714285714286,0.714285714285714,22.5600114469772,188.947581069848,209.845643423694,188.947581069848,22.5600114469772,0,0,0
"Petrovo","Doboj","Repuplika Srpska",0,1,245.148995639499,75.1946707230234,6474,7,36,6371,23,33,4,0.00108124806919988,0.00556070435588508,0.984090206981773,0.00355267222737102,0.00509731232622799,0.000617856039542787,0.0314953881732579,0.0619132108976004,0.00182103916246825,0.666532824733989,0.19494077494479,0.0797028709094559,0.0588235294117647,0,4822,159,4981,0.968078699056414,0.0319213009435856,42.6265183892481,54.9118476581293,123.078745433022,54.9118476581293,42.6265183892481,0,0,0
"Posušje","West Herzegovina","Federacija Bosna i Hercegovina",0,0,452.369155660807,140.223727990189,20477,2,20424,5,4,12,30,9.76705572105289e-05,0.997411730233921,0.000244176393026322,0.000195341114421058,0.000586023343263173,0.00146505835815793,0.00516724325262485,0.0103099303794218,0.00575987317421415,1,0,0,0,0,6570,470,7040,0.933238636363636,0.0667613636363636,0,128.099471778885,95.7480380818012,95.748038081801,0,33.575788988949,0,0
"Prijedor","Banja Luka","Repuplika Srpska",0,0,805.925326723255,148.016856395704,89397,29034,1762,55895,746,1571,389,0.324775999194604,0.019709833663322,0.625244695012137,0.00834479904247346,0.0175732966430641,0.0043513764443997,0.502803753260366,0.873991266088329,0.0251460361456865,0.809316587220824,0.132250548979701,0.00282523699855391,0.0556076268009212,0,47111,27573,74684,0.630804456108403,0.369195543891597,12.0480504393989,154.105289884699,212.04485052071,154.105289884699,12.0480504393989,2.64323416253373,0,0
"Prnjavor","Banja Luka","Repuplika Srpska",0,0,638.559099060576,142.589195585392,35956,2979,451,30673,239,1581,33,0.0828512626543553,0.0125431082434086,0.853070419401491,0.00664701301590833,0.0439704082767827,0.000917788408054289,0.263270776332715,0.461076087801862,0.010113883862482,0.759535466241603,0.15863979657672,0.0111199666021481,0.0707047705795286,0,22127,4222,26349,0.839766215036624,0.160233784963376,4.46521437906885,93.5103380584326,162.61398324013,93.5103380584326,4.46521437906885,14.537671318687,0,0
"Prozor-Rama","Herzegovina-Neretva","Federacija Bosna i Hercegovina",0,0,472.864840903906,119.818135499828,14280,3525,10702,3,7,20,23,0.246848739495798,0.749439775910364,0.000210084033613445,0.000490196078431373,0.00140056022408964,0.00161064425770308,0.377400881921396,0.74650891197639,0.00401674995984656,0.977486316224311,0.0225136837756894,0,0,0,6608,3075,9683,0.682433130228235,0.317566869771765,26.2515056321389,115.51353528438,89.5332947993585,89.5332947993584,26.2515056321389,26.3454210182247,0,0
"Ravno","Herzegovina-Neretva","Federacija Bosna i Hercegovina",0,1,320.829799389883,123.582540263375,3219,20,2633,558,3,0,5,0.00621310966138552,0.817955886921404,0.173345759552656,0.000931966449207828,0,0.00155327741534638,0.300857530731876,0.586714062604129,0.000905456451032639,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,114.628208057285,14.4403741604061,14.4403741604061,0,0,0,0
"Ribnik","Banja Luka","Repuplika Srpska",0,1,548.271965508616,137.405860528096,6048,0,11,6018,3,14,2,0,0.00181878306878307,0.995039682539683,0.000496031746031746,0.00231481481481481,0.000330687830687831,0.00988700842991508,0.0196809326886476,0.00170121174769972,0.658662726265238,0.284447728112301,0,0.0568895456224603,0,4464,950,5414,0.824528998891762,0.175471001108238,34.8574099101611,162.73511934911,187.808081199899,162.73511934911,34.8574099101611,0,0,0
"Rogatica","Istočno Sarajevo","Repuplika Srpska",0,0,631.429818858904,148.981050495978,10723,1117,19,9527,12,43,5,0.104168609530915,0.0017718921943486,0.888464049239951,0.00111908980695701,0.00401007180826261,0.00046628741956542,0.199759843932735,0.391137300392423,0.00301621917503044,0.914428061671043,0.0671918131017303,0.00208712044704773,0.0162930047801791,0,8211,6642,14853,0.552817612603514,0.447182387396486,95.6036489495198,3.98175037280259,14.5423362213802,3.98175037280259,3.98175037280259,0,0,0
"Rudo","Foča","Repuplika Srpska",0,0,343.383752984837,106.595304316088,7963,677,9,7241,6,27,3,0.0850182092176315,0.00113022730126837,0.909330654276027,0.000753484867512244,0.0033906819038051,0.000376742433756122,0.165876181483528,0.326399562470474,0.00223987254413573,0.878389218674795,0.0633723728541633,0.00561527354403979,0.0526231349270014,0,4861,1372,6233,0.77988127707364,0.22011872292636,128.245932263505,0,9.08958743341248,0,0,9.94818345851262,0,0
"Sanski Most","Una-Sana","Federacija Bosna i Hercegovina",0,1,715.942507199983,126.193126096798,41475,38344,722,1837,127,375,70,0.924508740204943,0.0174080771549126,0.044291742013261,0.00306208559373116,0.00904159132007233,0.00168776371308017,0.142924814435735,0.267157822911293,0.0116662958392602,0.85415866308106,0.125480215136381,0,0.0203611217825586,0,9887,10937,20824,0.474788705339992,0.525211294660008,17.7209983307111,171.123232857826,207.486610514867,171.123232857826,17.7209983307111,0,0,0
"Sapna","Tuzla","Federacija Bosna i Hercegovina",0,1,89.5481745826876,51.2762121910909,11178,10827,3,234,10,93,11,0.968599033816425,0.000268384326355341,0.0209339774557166,0.00089461442118447,0.00831991411701557,0.000984075863302916,0.0613066185364428,0.119837713828387,0.00314420385512359,NA,NA,NA,NA,NA,0,0,0,NA,NA,31.1574045642882,7.1930435683104,98.6137956657155,7.1930435683104,7.1930435683104,0,0,0
"Sarajevo Centar","Sarajevo","Federacija Bosna i Hercegovina",1,0,31.7473542247513,28.8692645834051,55181,41702,3333,2186,1617,6203,140,0.75573113934144,0.0604012250593501,0.0396150849024121,0.029303564632754,0.112411880901035,0.00253710516300901,0.410151215318691,0.626000794990727,0.0155215882026816,0.615293208959658,0.349563305804765,0.0106648446319292,0.024478640603648,0,30246,3416,33662,0.898520587012061,0.101479412987939,97.8152166537519,62.0952193396157,53.945007466199,53.9450074661988,53.9450074661988,0,0,0
"Sarajevo Novi Grad","Sarajevo","Federacija Bosna i Hercegovina",1,0,40.7232747923128,32.6936661233338,118553,99773,4947,4367,2103,7174,189,0.841589837456665,0.0417281722098977,0.0368358455711791,0.0177389015883191,0.0605130194933911,0.00159422368054794,0.28464938990783,0.475700216027495,0.0333471819320511,0.706600417126733,0.251625567415041,0.0179937022042285,0.0237803132539975,0,44962,3944,48906,0.919355498302867,0.0806445016971333,88.5529891941859,70.2202753925215,56.6307323557078,56.6307323557076,56.6307323557076,0,0,0
"Sarajevo Stari Grad","Sarajevo","Federacija Bosna i Hercegovina",1,1,41.1193654267251,33.9156915810126,36976,32794,685,467,547,2434,49,0.8868996105582,0.0185255300735612,0.0126298139333622,0.0147933794893985,0.0658264820424059,0.00132518390307226,0.208352647400042,0.374893304030718,0.0104007945738996,0.697938756467894,0.25901263890067,0.0191280006785987,0.0239206039528374,0,21642,1936,23578,0.917889558062601,0.0821104419373993,99.1993789714105,57.4952056921547,51.9289271297189,51.9289271297187,51.9289271297187,0.49429995232223,0,0
"Skender Vakuf","Banja Luka","Repuplika Srpska",0,1,331.654600265373,118.980785977986,9793,429,31,9288,4,37,4,0.0438068007760645,0.0031655263964056,0.948432553865006,0.000408455018891045,0.00377820892474216,0.000408455018891045,0.0985320258838194,0.192982734559617,0.00275462411462027,0.648656215005599,0.203667413213886,0.10456326987682,0.0431131019036954,0,6508,636,7144,0.910974244120941,0.0890257558790594,54.1882398032625,118.413969774043,140.292982073942,118.413969774043,54.1882398032625,0,0,0
"Sokolac","Istočno Sarajevo","Repuplika Srpska",0,0,716.639111824978,141.857409685616,12021,671,29,11250,14,38,19,0.0558189834456368,0.00241244488811247,0.935862241078113,0.00116462856667499,0.00316113468097496,0.00158056734048748,0.121026439595721,0.236543006348963,0.00338132711955991,0.924381301558204,0.0756186984417965,0,0,0,8651,2259,10910,0.792942254812099,0.207057745187901,83.4554677171153,16.5488970340883,31.1873153165899,16.5488970340883,16.5488970340883,0,0,0
"Srbac","Banja Luka","Repuplika Srpska",0,0,471.012493669494,124.673401299834,17587,417,131,16630,92,287,30,0.0237106954000114,0.00744868368681412,0.945584806959686,0.0052311366350145,0.0163188718940126,0.00170580542446125,0.104955112739461,0.19820125404045,0.00494695949186425,0.413663400979706,0.494139258222533,0,0.0921973407977607,0,10893,539,11432,0.952851644506648,0.047148355493352,0,95.2222182154922,189.111569846482,95.2222182154922,0,30.5044206461208,0,0
"Srebrenica","Vlasenica","Repuplika Srpska",0,0,516.363469160645,132.888859106425,13409,7248,16,6028,23,67,27,0.540532478186293,0.00119322842866731,0.44954881050041,0.00171526586620926,0.00499664404504437,0.00201357297337609,0.505697120144544,0.982085166785618,0.00377175071509682,0.901891615541922,0.0402351738241309,0.0390593047034765,0.0188139059304703,0,8332,11228,19560,0.425971370143149,0.574028629856851,79.463208702249,0,43.9551217404471,0,0,27.768619784508,0,0
