"Municipality","Canton","Entity","Sarajevo District","Split by IEBL","Municipality Area","Municipality Perimeter","Population, 2013","Bosniak Population, 2013","Croat Population, 2013","Serb Population, 2013","Not Declared Population, 2013","Other Population, 2013","No Answer Population, 2013","Bosniak Population Percentage, 2013","Croat Population Percentage, 2013","Serb Population Percentage, 2013","Not Declared Population Percentage, 2013","Other Population Percentage, 2013","No Answer Population Percentage, 2013","Ethnic Fractionalization, 2013","Ethnic Polarization, 2013","Percent of Population, 2013","Proportion of Votes for Nationalist Parties, 1997","Proportion of Votes for Non-Nationalist Parties, 1997","Proportion of Votes for Independent Parties, 1997","Proportion of Votes for Other Parties, 1997","Proportion of Invalid Ballots, 1997","Number of Votes Cast In-District, 1997","Number of Votes Cast Out-District, 1997","Total Votes Cast, 1997","Proportion of Votes Cast In-District, 1997","Proportion of Votes Cast Out-District, 1997","Distance to Croatia","Distance to Serbia","Distance to Montenegro","Distance to Yugoslavia","Distance to Another Country","Distance to IEBL","Republika Srpska Municipality","Federation Municipality"
"Brod","Doboj","Repuplika Srpska",0,0,238.844485643625,79.0034296884078,16169,1059,3287,11477,148,161,37,0.065495701651308,0.203290246768508,0.709815078236131,0.0091533180778032,0.00995732574679943,0.0022883295194508,0.450357775322787,0.73330690471357,0.00454809734599153,0.889743741492573,0.0872344203112979,0,0.0230218381961295,0,8900,7997,16897,0.526720719654377,0.473279280345623,0,60.7268091779744,172.737177945832,60.7268091779744,0,0,0,0
"Brčko","Brčko","Brčko",0,0,485.644179589641,122.703996926063,83516,35381,17252,28884,522,1377,100,0.423643373724795,0.206571195938503,0.34584989702572,0.00625029934383831,0.0164878586139183,0.00119737535322573,0.657930132203613,0.863398826648666,0.0234917989948561,0.736305945223781,0.239478957915832,0.0016143397906925,0.0226007570696949,0,22277,13651,35928,0.620045646849254,0.379954353150746,0,2.91026301333352,130.747738853936,2.91026301333362,0,0,1,1
"Bugojno","Central Bosnia","Federacija Bosna i Hercegovina",0,0,380.145754403939,91.157437989391,31470,24650,5767,376,153,493,31,0.783285668891007,0.183253892596123,0.0119478868763902,0.00486177311725453,0.0156657133778201,0.000985065141404512,0.352468797990712,0.643188822570103,0.0088520393022669,0.954690132933908,0.040769518816701,0,0.0045403482493915,0,13581,7783,21364,0.635695562628721,0.364304437371279,43.7036597672597,123.141109835008,119.707095025594,119.707095025594,43.7036597672597,7.73025934251978,0,0
"Busovača","Central Bosnia","Federacija Bosna i Hercegovina",0,0,153.576897864134,66.5926407790863,17910,8681,8873,205,27,111,13,0.484701284198772,0.495421552205472,0.0114461194863205,0.00150753768844221,0.00619765494137353,0.000725851479620324,0.519449926598063,0.980309447800185,0.00503781455047983,0.93135838150289,0.0603323699421965,0,0.00830924855491329,0,9544,1528,11072,0.861994219653179,0.138005780346821,73.7687593661557,92.9182911945665,94.0956646833351,92.9182911945665,73.7687593661557,27.2843892582502,0,0
"Bužim","Una-Sana","Federacija Bosna i Hercegovina",0,0,130.176145216817,56.2664653250251,19340,19207,8,1,6,96,22,0.993123061013444,0.000413650465356774,5.17063081695967e-05,0.00031023784901758,0.00496380558428128,0.00113753877973113,0.0136803822951614,0.0272350365738322,0.00544005211648687,0.885263020493408,0,0.0858895705521472,0.0288474089544446,0,7163,498,7661,0.934995431405822,0.0650045685941783,0,219.194523431757,278.169473872791,219.194523431757,0,6.89977387651711,0,0
"Cazin","Una-Sana","Federacija Bosna i Hercegovina",0,0,360.158626987773,93.0082852609556,66149,63463,320,29,331,1945,61,0.959394699844291,0.00483756368199066,0.000438404208680403,0.00500385493355909,0.0294033167545995,0.000922160576879469,0.0786477717095585,0.153052188129338,0.0186067222054545,0.84708991029831,0.0463458730269105,0.0389402684097073,0.067623948265072,0,25424,3338,28762,0.883944092900355,0.116055907099645,0,229.72856731459,275.151249759174,229.72856731459,0,9.66277651879245,0,0
"Derventa","Doboj","Repuplika Srpska",0,0,517.070412684313,122.041612258154,27404,1895,2573,22349,252,277,58,0.069150488979711,0.0938914027149321,0.81553787768209,0.00919573784848927,0.0101080134286965,0.00211647934608086,0.321109371421006,0.541258156196294,0.00770833444675317,0.826140752127779,0.126316973491808,0.00674890330321323,0.0407933710772,0,16045,10626,26671,0.601589741666979,0.398410258333021,0,68.8402189161991,160.036488736627,68.8402189161991,0,8.20376567314412,0,0
"Doboj","Doboj","Repuplika Srpska",0,1,699.926598017235,180.309578226905,71441,15322,1845,52628,490,992,164,0.214470682101314,0.025825506361893,0.736663820495234,0.00685880656765723,0.0138855839083999,0.0022956005655016,0.410416662863549,0.719719808873713,0.0200952824846918,0.800061658989518,0.158300388088934,0.00698197381306445,0.0346559791084836,0,38477,16665,55142,0.697780276377353,0.302219723622647,11.3523049641314,53.9517394307396,139.197920420852,53.9517394307396,11.3523049641314,0,0,0
"Doboj Istok","Tuzla","Federacija Bosna i Hercegovina",0,1,32.2146147607217,24.7594014813559,10248,9830,18,12,18,96,274,0.959211553473849,0.00175644028103044,0.00117096018735363,0.00175644028103044,0.00936768149882904,0.0267369242779079,0.0791030377930981,0.153276486303585,0.00288260879471342,NA,NA,NA,NA,NA,0,0,0,NA,NA,35.8495057537263,61.1698122230548,140.585144650166,61.1698122230548,35.8495057537263,0,0,0
"Doboj Jug","Zenica-Doboj","Federacija Bosna i Hercegovina",0,1,11.2677769021338,17.8876881320323,4137,4017,24,9,14,67,6,0.970993473531545,0.00580130529369108,0.00217548948513416,0.00338409475465313,0.0161953106115543,0.00145032632342277,0.0568574428319772,0.110631644510304,0.00116367609130849,NA,NA,NA,NA,NA,0,0,0,NA,NA,41.9068805767502,75.9127218170219,141.253412130533,75.9127218170219,41.9068805767502,0,0,0
