"municipality","votes_cast_in_district","votes_cast_out_district","total_votes_cast","perc_cast_in","perc_cast_out"
"Prozor-Rama",6608,3075,9683,0.682433130228235,0.317566869771765
"Ravno",NA,NA,NA,NA,NA
"Ribnik",4464,950,5414,0.824528998891762,0.175471001108238
"Rogatica",8211,6642,14853,0.552817612603514,0.447182387396486
"Rudo",4861,1372,6233,0.77988127707364,0.22011872292636
"Sanski Most",9887,10937,20824,0.474788705339992,0.525211294660008
"Sapna",NA,NA,NA,NA,NA
"Sarajevo Centar",30246,3416,33662,0.898520587012061,0.101479412987939
"Sarajevo Novi Grad",44962,3944,48906,0.919355498302867,0.0806445016971333
"Sarajevo Stari Grad",21642,1936,23578,0.917889558062601,0.0821104419373993
"Skender Vakuf",6508,636,7144,0.910974244120941,0.0890257558790594
"Sokolac",8651,2259,10910,0.792942254812099,0.207057745187901
"Srbac",10893,539,11432,0.952851644506648,0.047148355493352
"Srebrenica",8332,11228,19560,0.425971370143149,0.574028629856851
"Srebrenik",14779,1478,16257,0.909085317094175,0.0909146829058252
"Stolac",6392,4562,10954,0.583531130180756,0.416468869819244
"Teočak",NA,NA,NA,NA,NA
"Teslić",22696,6274,28970,0.783431135657577,0.216568864342423
"Tešanj",17947,2188,20135,0.891333498882543,0.108666501117457
"Tomislavgrad",9957,2043,12000,0.82975,0.17025
"Travnik",27354,5759,33113,0.826080391387069,0.173919608612931
"Trebinje",16754,3203,19957,0.839504935611565,0.160495064388435
"Trnovo-FBiH",250,863,1113,0.224618149146451,0.775381850853549
"Trnovo-RS",1935,1510,3445,0.561683599419448,0.438316400580552
"Tuzla",52889,3108,55997,0.944497026626426,0.0555029733735736
"Ugljevik",8545,1709,10254,0.833333333333333,0.166666666666667
"Usora",NA,NA,NA,NA,NA
"Vareš",6736,1671,8407,0.801237064351136,0.198762935648864
"Velika Kladuša",18143,3532,21675,0.837047289504037,0.162952710495963
"Visoko",20463,1196,21659,0.944780460778429,0.0552195392215707
"Vitez",14447,1848,16295,0.886590978827861,0.113409021172139
"Višegrad",10227,6544,16771,0.609802635501759,0.390197364498241
"Vlasenica",12692,7871,20563,0.617225113067159,0.382774886932841
"Vogošća",6745,1021,7766,0.868529487509658,0.131470512490343
"Vukosavlje",1473,1517,2990,0.492642140468227,0.507357859531773
"Zavidovići",19354,2144,21498,0.900269792538841,0.0997302074611592
"Zenica",54125,3742,57867,0.935334473879759,0.0646655261202412
"Zvornik",27280,18765,46045,0.592463894016723,0.407536105983277
"Čajniče",3705,1847,5552,0.667327089337176,0.332672910662824
"Čapljina",13615,3728,17343,0.785042956812547,0.214957043187453
"Čelinac",9228,856,10084,0.915113050376835,0.0848869496231654
"Čelić",4543,937,5480,0.829014598540146,0.170985401459854
"Čitluk",7209,505,7714,0.934534612393052,0.0654653876069484
"Šamac",10905,2717,13622,0.800543238878285,0.199456761121715
"Šekovići",4611,201,4812,0.958229426433915,0.0417705735660848
"Šipovo",6445,1642,8087,0.796958080870533,0.203041919129467
"Široki Brijeg",11043,724,11767,0.938471997960398,0.0615280020396023
"Žepče",5491,1492,6983,0.786338250035801,0.213661749964199
"Živinice",22225,1494,23719,0.93701252160715,0.0629874783928496
