"Municipality","Prewar Municipality","Municipality Area","Municipality Perimeter","Population, 1991","Muslim Population, 1991","Croat Population, 1991","Serb Population, 1991","Yugoslav Population, 1991","Other Population, 1991","Muslim Population Percentage, 1991","Croat Population Percentage, 1991","Serb Population Percentage, 1991","Yugoslav Population Percentage, 1991","Other Population Percentage, 1991","Ethnic Fractionalization, 1991","Ethnic Polarization, 1991","Percent of Population, 1991","Deaths per Population","Number of Deaths","Ethnic Dominance","Distance to Croatia","Distance to Serbia","Distance to Montenegro","Distance to Yugoslavia","Distance to Another Country","Distance to IEBL"
"Grude","Grude",166.552375907341,60.260765167213,16358,4,16210,9,5,130,0.000244528670986673,0.990952439173493,0.000550189509720015,0.000305660838733341,0.00794718180706688,0.017949649666114,0.0357907849028088,0.00373723478895407,0.0020785,34.000103,"Yes",0,137.172849591456,88.9953298796267,88.9953298796267,0,35.4441280536292
"Hadžići","Hadžići",285.013282395347,79.3557962645352,24200,15392,746,6362,841,859,0.63603305785124,0.0308264462809917,0.262892561983471,0.0347520661157025,0.035495867768595,0.522931517655898,0.805935040043216,0.005528859389454,0.0262397,635.00074,"No",64.6145112623306,76.7872821776496,58.0152222793452,58.0152222793452,58.0152222793452,5.0003331756048
"Han Pijesak","Han Pijesak",358.002135904775,91.9664894826855,6348,2543,7,3674,68,56,0.40059861373661,0.00110270951480781,0.578764965343415,0.0107120352867045,0.00882167611846251,0.504358079925545,0.949935932146382,0.00145029749604355,0.0241021,153.0001308,"No",76.0651663846019,5.53343627850065,45.4520848349218,5.53343627850065,5.53343627850065,0
"Ilidža","Ilidža",157.923142766565,72.1696921239722,67937,29337,6934,25029,5181,1456,0.431826545181565,0.10206514859355,0.368414854939135,0.0762618308138422,0.0214316204719078,0.661103853784175,0.827401081933593,0.015521244642204,0.0243461,1654.0009957,"No",81.969421068352,67.6082795219309,50.6726453057755,50.6726453057753,50.6726453057753,0
"Ilijaš","Ilijaš",312.50361492967,101.763696643128,25184,10585,1736,11325,1167,371,0.420306543837357,0.0689326556543837,0.449690279542567,0.0463389453621347,0.0147315756035578,0.61400503349982,0.881509608656861,0.00575366920925659,0.0210451,529.9997984,"No",87.926576411056,46.7493328813668,53.9223490730088,46.7493328813668,46.7493328813668,0
"Istočna Ilidža","Ilidža",157.923142766565,72.1696921239722,67937,29337,6934,25029,5181,1456,0.431826545181565,0.10206514859355,0.368414854939135,0.0762618308138422,0.0214316204719078,0.661103853784175,0.827401081933593,0.015521244642204,0.0243461,1654.0009957,"No",81.969421068352,67.6082795219309,50.6726453057755,50.6726453057753,50.6726453057753,0
"Istočni Drvar","Drvar",944.369726706419,175.946909922573,17126,33,33,16608,384,68,0.00192689477986687,0.00192689477986687,0.969753591031181,0.0224220483475417,0.00397057106154385,0.0590520331484901,0.115835916891852,0.00391269611172683,0.0082915,142.000229,"Yes",0,188.947379380102,196.355353516385,188.947379380102,0,0
"Istočni Mostar","Mostar",1246.11869772911,190.697310973553,126628,43856,43037,23846,12768,3121,0.346337302966169,0.339869539122469,0.188315380484569,0.100830779922292,0.0246469975045014,0.718302165758028,0.772711171561821,0.0289300994532141,0.0199956,2532.0028368,"No",12.2496024647641,92.5286864456849,47.0094609749554,47.0094609749554,12.2496024647641,0
"Istočni Stari Grad","Sarajevo Stari Grad",130.135721221302,56.6097978803534,50744,39410,1126,5150,3374,1684,0.776643544064323,0.0221898155446949,0.101489831310106,0.0664906195806401,0.0331861895002365,0.380509906024184,0.598604716649387,0.0115932413577873,0.0227022,1152.0004368,"Yes",98.7151046787356,51.4549240236687,47.0122971904285,47.0122971904284,47.0122971904284,0
"Istočno Novo Sarajevo","Sarajevo Novo Sarajevo",72.9129960665233,54.4022579981858,95089,33902,8798,32899,15099,4391,0.356529146378656,0.0925238460810399,0.345981133464439,0.158788082743535,0.0461777913323308,0.717277317341841,0.76437623582599,0.0217245334910658,0.0202337,1924.0022993,"No",90.9185939718103,60.4068723851582,44.048809330892,44.0488093308918,44.0488093308918,0
"Jablanica","Jablanica",324.184713312212,91.5996408341979,12691,9099,2291,504,581,216,0.716964778189268,0.180521629501221,0.0397131825703254,0.0457804743519029,0.0170199353872823,0.449410781215901,0.703981450281113,0.00289945266576697,0.0218265,277.0001115,"Yes",25.3319417956366,105.68855187145,74.4482589363525,74.4482589363524,25.3319417956366,13.9077150606168
"Jajce","Jajce",376.666528108197,84.1518063682513,45007,17380,15811,8663,2496,657,0.386162152554047,0.351300908747528,0.192481169595841,0.0554580398604662,0.0145977292421179,0.687128774914812,0.81850593261158,0.0102825361380643,0.0155309,698.9992163,"No",57.564300873638,133.90276158664,145.539494159701,133.90276158664,57.564300873638,0
"Jezero","Jajce",376.666528108197,84.1518063682513,45007,17380,15811,8663,2496,657,0.386162152554047,0.351300908747528,0.192481169595841,0.0554580398604662,0.0145977292421179,0.687128774914812,0.81850593261158,0.0102825361380643,0.0155309,698.9992163,"No",57.564300873638,133.90276158664,145.539494159701,133.90276158664,57.564300873638,0
"Kakanj","Kakanj",483.998701392131,120.330274981467,55950,30528,16556,4929,2554,1383,0.545630026809651,0.295907059874888,0.0880965147453083,0.0456478999106345,0.0247184986595174,0.604271154907396,0.826337269771018,0.012782631522312,0.0085255,477.001725,"No",72.8457691891865,59.8866565843964,84.15141756894,59.8866565843964,59.8866565843964,20.1511386162538
"Kalesija","Kalesija",267.821341133633,76.6370436245725,41809,33137,35,7659,275,703,0.792580544858763,0.000837140328637375,0.183190222200962,0.00657753115357937,0.0168145614580593,0.337930728204317,0.632121044342852,0.00955190422370587,0.0157861,660.0010549,"Yes",34.9129130078874,5.23270425342291,89.1209122358853,5.23270425342291,5.23270425342291,0
"Kalinovik","Kalinovik",808.54685712195,151.681208688652,4667,1716,17,2826,46,62,0.367688022284123,0.00364259695736019,0.605528176558817,0.00985643882579816,0.0132847653739019,0.497854242772184,0.921629624888921,0.00106624738721412,0.057853,269.999951,"No",51.5717207625457,46.4084999659415,14.2640321179829,14.2640321179827,14.2640321179827,0
"Kiseljak","Kiseljak",180.117831298126,83.8817636847499,24164,9778,12550,740,600,496,0.404651547756994,0.519367654361861,0.0306240688627711,0.0248303261049495,0.0205264029134249,0.564538652595774,0.916216788238537,0.00552063463994903,0.0177537,429.0004068,"No",72.2814587788184,86.6898196201546,70.8168739479438,70.8168739479436,70.8168739479436,14.0171508187783
"Kladanj","Kladanj",314.055808172675,78.1159243212439,16070,11621,36,3952,277,184,0.723148724331052,0.00224019912881145,0.245924082140635,0.0172370877411325,0.0114499066583696,0.416144032273241,0.76323933561198,0.00367143679291429,0.0126945,204.000615,"No",57.2869520682386,24.1102728442288,70.3913495631194,24.1102728442287,24.1102728442287,0
"Ključ","Ključ",873.923447015203,154.076979517726,37391,17696,330,18506,579,280,0.473268968468348,0.00882565323206119,0.494931935492498,0.0154850097617074,0.00748843304538525,0.530685108402787,0.968273095856912,0.00854254468723448,0.0324677,1213.9997707,"No",33.223332674935,162.217611800506,187.175240179071,162.217611800506,33.223332674935,0
"Konjic","Konjic",1065.05893496374,166.750428129002,43878,23815,11513,6620,1358,572,0.542754911345093,0.262386617439263,0.150872874789188,0.0309494507498063,0.0130361456766489,0.61267993525659,0.82361266576431,0.0100245988549778,0.0224942,987.0005076,"No",44.7493675808426,69.7906090719696,39.4687067637603,39.4687067637601,39.4687067637601,0
"Kostajnica","Bosanski Novi",577.381926239548,126.276708775493,41665,14040,403,25101,1557,564,0.336973478939158,0.00967238689547582,0.602448097923917,0.0373694947797912,0.0135365414616585,0.5218318916364,0.884776285498945,0.00951900522568598,0.0160806,669.998199,"No",0,180.556751965929,247.184597344818,180.556751965929,0,0
"Kotor Varoš","Kotor Varoš",642.329674065164,160.80972492512,36853,11090,10695,14056,745,267,0.300925297804792,0.290207038775676,0.381407212438607,0.0202154505739017,0.0072450004070225,0.679291223613158,0.854097580487079,0.00841963037518794,0.0284644,1048.9985332,"No",49.145475868072,112.016461464685,135.525175771732,112.016461464685,49.145475868072,0
"Kreševo","Kreševo",144.79710589861,51.7982793366807,6731,1531,4714,34,251,201,0.227455058683702,0.700341702570198,0.00505125538552964,0.0372901500519982,0.0298618333085723,0.455477896359851,0.756693495155167,0.0015377996921659,0.0163423,110.0000213,"No",61.6021934402338,90.4866376003664,75.4624366810065,75.4624366810063,61.6021934402338,18.7769723393965
"Krupa na Uni","Bosanska Krupa",840.024431633415,153.765688759556,58320,43104,139,13841,708,528,0.739094650205761,0.00238340192043896,0.23732853223594,0.0121399176954733,0.00905349794238683,0.397179241792598,0.742848853695935,0.0133240941980561,0.022548,1314.99936,"No",0,205.780654658643,249.009920869855,205.780654658643,0,0
"Kupres-FBIH","Kupres",592.168291611245,114.080201851894,9618,802,3813,4864,67,72,0.0833853191931795,0.396444167186525,0.505718444583073,0.00696610521938033,0.00748596381784155,0.580023199379101,0.91099942511013,0.00219737890941192,0.0296319,284.9996142,"No",22.7783881549202,143.926898724953,120.418602681005,120.418602681005,22.7783881549202,0
"Kupres-RS","Kupres",592.168291611245,114.080201851894,9618,802,3813,4864,67,72,0.0833853191931795,0.396444167186525,0.505718444583073,0.00696610521938033,0.00748596381784155,0.580023199379101,0.91099942511013,0.00219737890941192,0.0296319,284.9996142,"No",22.7783881549202,143.926898724953,120.418602681005,120.418602681005,22.7783881549202,0
"Laktaši","Laktaši",401.982217946416,85.6507581973199,29832,408,2565,24176,1530,1153,0.0136765888978278,0.0859814963797265,0.81040493429874,0.0512872083668544,0.0386497720568517,0.331539793038567,0.54156373036203,0.0068155757564542,0.0078439,233.9992248,"No",15.8860730724989,117.404543008559,182.945894254121,117.404543008559,15.8860730724989,33.3616199359498
"Livno","Livno",921.666260614532,150.747444461056,40600,5793,29324,3913,1125,445,0.142684729064039,0.722266009852217,0.0963793103448276,0.0277093596059113,0.0109605911330049,0.44779596447378,0.686392274487124,0.0092756897194972,0.0023645,95.9987,"Yes",0,166.051866232384,137.243485057598,137.243485057598,0,19.0829980077144
"Ljubinje","Ljubinje",333.528782412207,80.2425785497539,4172,332,39,3748,19,34,0.0795781399808245,0.00934803451581975,0.898370086289549,0.00455417066155321,0.00814956855225312,0.186423966009988,0.352096640974209,0.000953157081520747,0.0064717,26.9999324,"Yes",8.92639032545044,95.0023445317144,19.983948777857,19.9839487778572,8.92639032545044,0
"Ljubuški","Ljubuški",275.211316955463,81.53687203416,28340,1592,26127,65,227,329,0.0561750176429076,0.921912491178546,0.00229357798165138,0.00800988002822865,0.0116090331686662,0.14671753767265,0.278195217864334,0.00647470558252588,0.0017996,51.000664,"Yes",0,128.516834363193,71.3825294828114,71.3825294828114,0,20.4388292789387
"Lopare","Lopare",430.130064239132,94.339908431404,32537,11990,1263,18243,583,458,0.368503549804838,0.0388173464056305,0.560684758889879,0.0179180625134462,0.0140762823862065,0.547811749857805,0.903277277603523,0.0074335742956473,0.016535,537.999295,"No",8.7580615057576,13.0557543991887,110.655432898667,13.0557543991887,8.7580615057576,0
"Lukavac","Lukavac",389.125347191395,83.1438500308691,57070,38080,2159,12169,3424,1238,0.667250744699492,0.0378307341860873,0.21322936744349,0.059996495531803,0.0216926581391274,0.503808365215325,0.756562896158345,0.0130385126180223,0.0104608,596.997856,"No",34.7708548218728,42.486690526218,106.64650160524,42.486690526218,34.7708548218728,0
"Maglaj","Maglaj",378.238410644762,95.2373410287142,43388,19569,8365,13312,1508,634,0.451023324421499,0.192795242924311,0.306812943671061,0.0347561537752374,0.0146123352078916,0.663852262163958,0.833227049849533,0.00991265087560455,0.0195907,850.0012916,"No",46.6629041249914,66.3551699930843,119.348907424111,66.3551699930843,46.6629041249914,0
"Milići","Vlasenica",483.15716226466,111.694308167499,33942,18727,39,14359,340,477,0.551735313181309,0.00114901891461906,0.423045194743975,0.010017087973602,0.0140533851864946,0.516321747461618,0.960033880922474,0.00775456799160527,0.0864416,2934.0007872,"No",61.8402583346309,3.59053460873044,51.917085914026,3.59053460873044,3.59053460873044,0
"Modriča","Modriča",335.111548760014,89.9214838526699,35613,10375,9805,12534,1851,1048,0.291326201106338,0.27532080981664,0.351950130570297,0.0519754022407548,0.0294274562659703,0.711891184202036,0.795009494116185,0.00813633344779443,0.0177463,631.9989819,"No",5.71248086016492,42.175386727987,154.514803910782,42.175386727987,5.71248086016492,0
"Mostar","Mostar",1246.11869772911,190.697310973553,126628,43856,43037,23846,12768,3121,0.346337302966169,0.339869539122469,0.188315380484569,0.100830779922292,0.0246469975045014,0.718302165758028,0.772711171561821,0.0289300994532141,0.0199956,2532.0028368,"No",12.2496024647641,92.5286864456849,47.0094609749554,47.0094609749554,12.2496024647641,0
"Mrkonjić Grad","Mrkonjić Grad",622.073948551661,147.974327458015,27395,3272,2139,21057,593,334,0.119437853622924,0.0780799415951816,0.768643913122833,0.02164628581858,0.0121920058404818,0.388207449965507,0.621902319517462,0.00625880590802034,0.01785,489.00075,"Yes",34.6657531930918,146.990216496331,168.667027641795,146.990216496331,34.6657531930918,0
"Neum","Neum",174.850686491101,83.623692661913,4325,190,3792,207,90,46,0.0439306358381503,0.876763005780347,0.0478612716763006,0.0208092485549133,0.010635838150289,0.226519883724815,0.397184164767599,0.000988112266916882,0.0016185,7.0000125,"Yes",0,115.421773767709,43.7441916017336,43.7441916017336,0,0.204563686083098
"Nevesinje","Nevesinje",981.501585907146,165.305861824558,14448,3313,210,10711,123,91,0.229305094130676,0.0145348837209302,0.741348283499446,0.00851328903654485,0.0062984496124031,0.397498486955626,0.731990103757876,0.00330086613466245,0.0446429,645.0006192,"No",24.9705961067122,68.408775535044,13.7460952276488,13.7460952276488,13.7460952276488,0
"Novi Grad","Bosanski Novi",577.381926239548,126.276708775493,41665,14040,403,25101,1557,564,0.336973478939158,0.00967238689547582,0.602448097923917,0.0373694947797912,0.0135365414616585,0.5218318916364,0.884776285498945,0.00951900522568598,0.0160806,669.998199,"No",0,180.556751965929,247.184597344818,180.556751965929,0,0
"Novi Travnik","Novi Travnik",259.642929709342,80.8215704424593,30713,11625,12162,4097,2132,697,0.378504216455573,0.395988669293133,0.133396281704816,0.0694168593103897,0.022693973236089,0.676799247166377,0.816641829407509,0.00701685365406201,0.0154983,475.9992879,"No",63.1474826594813,111.918659348985,108.516248286972,108.516248286972,63.1474826594813,15.3519982098752
"Novo Goražde","Goražde",395.86891682019,93.3257575861793,37573,26296,80,9843,789,565,0.699864264232294,0.00212918851302797,0.261970031671679,0.0209991217097384,0.0150373938732601,0.440890094385725,0.793272685767706,0.0085841253652874,0.0435685,1636.9992505,"No",106.693303690715,9.8499827117942,0.377649652200105,0.377649652198766,0.377649652198766,0
